Country,Code,Minimally_Stressed,Stressed_Crisis,Nutrition_Hunger_Index,Aid_Project_allevation,Emergency_Response_cases
Algeria,DZA,89,389343,160.6,8690,248726
Angola,AGO,97,242275,129.5,613441,3180021
Argentina,ARG,100,429800,266.6,5691,322589
Belize,BLZ,N/A,351706,N/A,24122,19
Benin,BEN,100,105984,162.1,195573,1509221
Bhutan,BTN,N/A,765008,N/A,28716,48
Bolivia,BOL,45.37,105618,2.5,124900,7401
Botswana,BWA,66.3,22199,113.7,1485,1485
Brazil,BRA,20.3,206077898,2.3,167009,143415
Burkina Faso,BFA,100,175891,191.8,927430,828013
Burundi,BDI,100,108168,100,762212,4831758
C̫te d'Ivoire,CIV,100,22157,149.5,641851,4658774
Cabo Verde,CPV,95,51390,135.3,6894,46
Cambodia,KHM,70.72,15328,48.13,142242,26278
Cameroon,CMR,100,22773,156.2,370996,1369518
Central African Republic,CAF,100,48043,248.7,625301,495238
Chad,TCD,98.91,135870,253.1,173719,151372
China,CHN,N/A,1377240453,N/A,4403633,2921
Colombia,COL,22.23,491393,4.51,403532,40768
Comoros,COM,100,76991,47.58,103545,2465
Congo,COG,100,450442,158.9,29086,248159
Costa Rica,CRI,N/A,4757606,N/A,4420,6
Democratic People's Republic of Korea,PRK,N/A,26772,N/A,38878,11212
Democratic Republic of the Congo,COD,100,48770,97,146473,996893
Djibouti,DJI,50,876174,209.6,39276,9439
Dominican Republic,DMA,48.18,405943,0.92,416729,496
Ecuador,ECU,N/A,902916,N/A,370825,241
El Salvador,SLV,N/A,107706,N/A,106915,8
Equatorial Guinea,GNQ,100,52088,100,57129,20417
EGYPT,EYG,100,69485,79.1,56412,20456
Eritrea,ERI,100,51104,71,121755,35725
Ethiopia,ETH,98,69587,238.1,7457765,2513863
French Guiana,GUF,100,26146,85.5,14651,448
Gabon,GAB,100,16876,81,256183,185996
Gambia,GMB,100,19282,130,603424,166229
Georgia,GEO,N/A,4034774,N/A,440,6
Ghana,GHA,100,267865,125.4,10636057,8453557
Guatemala,GTM,76.73,160154,24.9,314294,4931
Guinea,GIN,100,122755,181.4,1595828,1595828
Guinea-Bissau,GNB,100,18005,179,309939,98952
Guyana,GUY,93,763893,35,142843,12354
Haiti,HTI,100,105720,53,258817,17696
Honduras,HND,63.37,7961680,4.66,151420,3380
India,IND,91,1295291543,14,138628331,1102205
Indonesia,IDN,26.13,254454778,11.77,1575907,252027
Iran,IRN,N/A,781436,N/A,N/A,1243
Kenya,KEN,100,44863,148.6,15142723,9655905
Kyrgyzstan,KGZ,N/A,58436,N/A,35600,0
Lao,LAO,92.61,66893,31.24,294542,48071
Lesotho,LSO,100,298011,133.6,,
Liberia,LBR,100,439651,201.7,2433086,1066107
Libya,LAJ,100,299019,80,,
Madagascar,MDG,100,235717,199.6,977228,433101
Malawi,MWI,100,166952,188.8,7703651,5065703
Malaysia,MYS,N/A,299019,N/A,1443958,3923
Mali,MLI,100,170860,185.2,2590643,2590643
Mauritania,MRT,100,39696,219.1,188194,156529
Mayotte (France),MYT,N/A,228070,N/A,15,15
Mexico,MEX,N/A,125385833,N/A,900578,664
Morrocco,MAR,100,20285,65.4,296972,1164
Mozambique,MOZ,100,272162,215.4,60607724,55485327
Myanmar,MMR,59.52,53437,15.81,890913,152195
Namibia,NAM,79.37,240285,157.7,186972,15914
Nepal,NPL,47.95,281747,3.63,296979,122874
Nicaragua,NIC,50.2,60139,1.3,620977,1163
Niger,NER,94,191137,223.1,7014724,3222613
Nigeria,NGA,100,177475,175,19555575,16512127
Pakistan,PAK,98.31,18504,28.92,8514341,3666257
Panama,PAN,4.69,38675,4.4,80701,874
Papua New Guinea,PNG,100,74635,94,922417,644688
Paraguay,PRY,N/A,65525,N/A,24832,8
Peru,PER,39.28,3097,5.01,866047,64676
Philippines,PHL,60.98,9913,6.59,314820,4903
Republic of Korea,KOR,N/A,5007,N/A,638,638
Rwanda,RWA,100,11341,210,4178206,1610812
Sao Tome and Principe,STP,100,18634,100,91445,1754
Saudi Arabia,SAU,N/A,3088,N/A,N/A,2305
Senegal,SEN,100,14672,133.5,1079536,628642
Sierra Leone,SLE,100,63156,230.5,2647375,1898852
Solomon Islands,SLB,99,572171,99,233803,51649
Somalia,SOM,100,105175,50.9,79653,26174
South Africa,ZAF,10,53969,65.3,543196,13988
South Sudan,SSD,100,119111,88.6,1406674,1502223
Sri Lanka,LKA,N/A,20618,N/A,1069817,49
Sudan,SDN,100,393502,86.9,1207771,1207771
Suriname,SUR,15.7,538248,15.7,26964,400
Swaziland,SWZ,28,1269112,1.6.3,711,711
Tajikistan,TJK,N/A,8295840,N/A,200241,7
Tanzania,TZA,90,71122,174.6,179452,453
Thailand,THA,50,67725,8,1756528,37921
Timor-Leste,TLS,89.71,1157,33.67,117107,342
Togo,TGO,89,71151,156.8,1756700,1130251
Turkey,TUR,N/A,77523,N/A,189854,249
Uganda,UGA,99,37782,170.3,19201136,13724345
United Republic of Tanzania,TZA,100,51822,174.6,25190092,7403562
Uzbekistan,UZB,N/A,29469,N/A,812347,1
Vanuatu,VUT,100,2588,86.92,35570,982
Venezuela,VEN,18.8,30693,2.6,522617,90708
Viet Nam,VNM,73.7,92423,6.8,2786135,27868
Yemen,YEM,77.89,2618,25.06,725169,97089
Zambia,ZMB,88,157213,219.9,7859740,219.9
Zimbabwe,ZWE,78.74,152458,174.8,1420946,174.8
